movieCd,moviePartNm,peopleCd
20110881,DI팀,20124878
20136061,DI팀,20124878
20138222,DI팀,20124878
20134801,DI팀,20124878
20131245,DI팀,20124878
20137044,DI팀,20124878
20134413,DI팀,20124878
20138223,DI팀,20124878
20122785,DI팀,20124878
20123384,DI팀,20124878
20137081,DI팀,20124878
20126672,DI팀,20124878
20129368,DI팀,20124878
20127568,DI팀,20124878
20130929,DI팀,20124878
20131841,DI팀,20124878
20122781,DI팀,20124878
20120425,DI팀,20124878
20120110,DI팀,20124878
20120103,DI팀,20124878
20124069,DI팀,20124878
20128690,DI팀,20124878
20129211,DI팀,20124878
20127593,DI팀,20124878
20123681,DI팀,20124878
20124935,DI팀,20124878
20128687,DI팀,20124878
20122702,DI팀,20124878
20121454,DI팀,20124878
20125406,DI팀,20124878
20121550,DI팀,20124878
20127546,DI팀,20124878
20124348,DI팀,20124878
20120430,DI팀,20124878
20121065,DI팀,20124878
20126089,DI팀,20124878
20125446,DI팀,20124878
20124070,DI팀,20124878
20113887,DI팀,20124878
20125920,DI팀,20124878
20124067,DI팀,20124878
20124062,DI팀,20124878
20124061,DI팀,20124878
20124055,DI팀,20124878
20111416,DI팀,20124878
20111774,DI팀,20124878
20124047,DI팀,20124878
20128506,DI팀,20124878
20128271,DI팀,20124878
20124046,DI팀,20124878
20113391,DI팀,20124878
20111027,DI팀,20124878
20124350,DI팀,20124878
20110312,DI팀,20124878
20112071,DI팀,20124878
20113916,DI팀,20124878
20110249,DI팀,20124878
20113535,DI팀,20124878
20112781,DI팀,20124878
20113671,DI팀,20124878
20113260,DI팀,20124878
20113312,DI팀,20124878
20119890,DI팀,20124878
20112934,DI팀,20124878
20110613,DI팀,20124878
20110254,DI팀,20124878
20110303,DI팀,20124878
20110297,DI팀,20124878
20110609,DI팀,20124878
20110279,DI팀,20124878
20119515,DI팀,20124878
20110313,DI팀,20124878
20110233,DI팀,20124878
20119527,DI팀,20124878
20119529,DI팀,20124878
20119627,DI팀,20124878
20119618,DI팀,20124878
20119511,DI팀,20124878
20119970,DI팀,20124878
20111461,DI팀,20124878
20119989,DI팀,20124878
20119718,DI팀,20124878
20116037,DI팀,20124878
20101003,DI팀,20124878
20119337,DI팀,20124878
20119341,DI팀,20124878
20101232,DI팀,20124878
20102414,DI팀,20124878
20101222,DI팀,20124878
20101200,DI팀,20124878
20101221,DI팀,20124878
20101113,DI팀,20124878
20101109,DI팀,20124878
20101009,DI팀,20124878
20101040,DI팀,20124878
20100057,DI팀,20124878
20100835,DI팀,20124878
20100981,DI팀,20124878
20100833,DI팀,20124878
20100787,DI팀,20124878
20100813,DI팀,20124878
20100788,DI팀,20124878
20100380,DI팀,20124878
20100315,DI팀,20124878
20100044,DI팀,20124878
20100188,DI팀,20124878
20100198,DI팀,20124878
20100129,DI팀,20124878
20090947,DI팀,20124878
20100141,DI팀,20124878
20100075,DI팀,20124878
20090939,DI팀,20124878
20090917,DI팀,20124878
20090892,DI팀,20124878
20100059,DI팀,20124878
20100046,DI팀,20124878
20101338,DI팀,20124878
20101004,DI팀,20124878
20100053,DI팀,20124878
20090331,DI팀,20124878
20100107,DI팀,20124878
20100034,DI팀,20124878
20090926,DI팀,20124878
20090890,DI팀,20124878
20090874,DI팀,20124878
20090875,DI팀,20124878
20090311,DI팀,20124878
20090822,DI팀,20124878
20090590,DI팀,20124878
20090155,DI팀,20124878
20090669,DI팀,20124878
20090328,DI팀,20124878
20090605,DI팀,20124878
20090581,DI팀,20124878
20090434,DI팀,20124878
20090389,DI팀,20124878
20090307,DI팀,20124878
20090074,DI팀,20124878
20090336,DI팀,20124878
20090225,DI팀,20124878
20090169,DI팀,20124878
20090023,DI팀,20124878
20081654,DI팀,20124878
20090034,DI팀,20124878
20090051,DI팀,20124878
20081737,DI팀,20124878
20081716,DI팀,20124878
20145485,DI팀,20124878
20145472,DI팀,20124878
20124349,DI팀,20124878
20101233,DI팀,20124878
20101245,DI팀,20124878
20191044,감독,10000063
20202554,감독,10000063
20190428,감독,10000063
20184573,감독,10000063
20190508,감독,10000063
20190761,감독,10000063
20171814,감독,10000063
20179690,감독,10000063
20179689,감독,10000063
20179687,감독,10000063
20168763,감독,10000063
20206291,배우,20365243
20195002,배우,20365243
20197525,감독,20318773
20217728,의상팀,20376195
20184571,기타,20370942
20218527,감독,10026501
20218527,시나리오(각본),10026501
20176122,제작,10026501
20176122,원작,10026501
20145396,감독,10026501
20145396,시나리오(각본),10026501
20072520,배우,10026501
20072520,시나리오(각본),10026501
20072520,제작,10026501
20200311,배우,20374452
20203825,라인프로듀서,20373397
20203825,조감독,20373397
20188462,배우,20366896
20192904,포스터사진,20297718
20184187,광고디자인,20297718
20183129,광고디자인,20297718
20189761,광고디자인,20297718
20177784,광고디자인,20297718
20190385,기타,20370411
20209946,배우,20368922
20183407,배우,20368922
20197434,음악진행,20375613
20209627,미술팀,20374901
20198374,제작팀,20369630
20180502,감독,10065499
20195002,배우,20368888
20195002,연출팀,20368888
20198634,감독,20308289
20198634,시나리오(각본),20308289
20183405,감독,20308289
20183405,시나리오(각본),20308289
20183405,각색,20308289
20183405,촬영,20308289
20188541,감독,20308289
20188541,각색,20308289
20188541,촬영,20308289
20196702,배우,20370041
20217005,감독,20347332
20205965,감독,20347332
20209021,예고편,20342130
20209029,예고편,20342130
20197863,메이킹필름,20342130
20190725,예고편,20342130
20181205,예고편,20342130
20154563,감독,20153416
20154391,감독,20153416
20209268,배우,20153416
20209268,기획,20153416
20182422,기획,20153416
20189141,감독,20153416
20183941,감독,20153416
20186042,감독,20153416
20173990,감독,20153416
20126066,감독,20153416
20126073,감독,20153416
20122490,감독,20153416
20202083,감독,20153416
20202081,감독,20153416
20154393,감독,20153416
20203470,배우,20375243
20198863,배우,20356523
20198863,배우,20356523
20193321,배우,20356523
20190385,배우,20356523
20202712,배우,20360942
20180902,배우,20366195
20217946,타이틀,20375756
20215041,배우,20372093
20198201,배우,20369775
20198201,제작팀,20369775
20205378,DI팀,20132410
20125446,DI팀,20132410
20111416,DI팀,20132410
20128506,DI팀,20132410
20111027,DI팀,20132410
20124350,DI팀,20132410
20112071,DI팀,20132410
20113916,DI팀,20132410
20110249,DI팀,20132410
20112781,DI팀,20132410
20113671,DI팀,20132410
20113260,DI팀,20132410
20113312,DI팀,20132410
20119890,DI팀,20132410
20112934,DI팀,20132410
20110613,DI팀,20132410
20112082,DI팀,20132410
20110303,DI팀,20132410
20110297,DI팀,20132410
20110609,DI팀,20132410
20110279,DI팀,20132410
20119515,DI팀,20132410
20110313,DI팀,20132410
20110233,DI팀,20132410
20119527,DI팀,20132410
20119529,DI팀,20132410
20119627,DI팀,20132410
20119618,DI팀,20132410
20119511,DI팀,20132410
20119970,DI팀,20132410
20111461,DI팀,20132410
20119989,DI팀,20132410
20119718,DI팀,20132410
20101003,DI팀,20132410
20119337,DI팀,20132410
20119341,DI팀,20132410
20102414,DI팀,20132410
20101222,DI팀,20132410
20101221,DI팀,20132410
20101113,DI팀,20132410
20172388,감독,20281789
20172388,폴리,20281789
20172388,기획,20281789
20172388,촬영,20281789
20172388,편집,20281789
20190866,미술팀,20337525
20190275,감독,20337525
20218567,감독,10065476
20040667,감독,10065476
19960078,시나리오(각본),10065476
19950213,시나리오(각본),10065476
20182447,VFX 아티스트,20298052
20186202,VFX 아티스트,20298052
20170590,VFX 아티스트,20298052
20150976,VFX 아티스트,20298052
20207015,감독,20307469
20187562,감독,20307469
20162869,감독,10060674
20119515,감독,10060674
20090904,감독,10060674
20090904,각색,10060674
20081243,감독,10060674
20081243,각색,10060674
20060228,조감독,10060674
20060228,편집팀,10060674
20050102,조감독,10060674
20050102,편집팀,10060674
20040688,연출팀,10060674
20040612,연출팀,10060674
20040505,연출팀,10060674
20010030,연출팀,10060674
20189651,감독,20188904
20148389,감독,20188904
20141061,감독,20188904
20150978,감독,20188904
20217495,감독,20189616
20160746,감독,20189616
20160746,프로듀서,20189616
20160746,촬영,20189616
20160746,편집,20189616
20149500,감독,20189616
20190323,포스터사진,20181226
