movieCd,genreAlt
20216801,애니메이션
20217728,범죄
20217728,액션
20217728,드라마
20218110,멜로/로맨스
20218655,성인물(에로)
19950012,드라마
19950012,미스터리
20218674,성인물(에로)
20218654,성인물(에로)
20218653,공포(호러)
20218653,미스터리
20218673,성인물(에로)
20218672,성인물(에로)
20204117,액션
20204117,드라마
20216685,애니메이션
20216685,어드벤처
20216685,코미디
20218396,멜로/로맨스
20218396,드라마
20218398,멜로/로맨스
20218398,드라마
20218397,멜로/로맨스
20218397,드라마
20218449,멜로/로맨스
20218399,멜로/로맨스
20218399,드라마
20218345,공포(호러)
20218348,액션
20218348,공포(호러)
20218348,스릴러
20218347,액션
20218347,전쟁
19970316,멜로/로맨스
19970316,드라마
19970316,코미디
20218669,기타
20200602,드라마
20218651,액션
20030039,공포(호러)
20218567,스릴러
20217646,공포(호러)
20217646,스릴러
20209268,가족
20209268,범죄
20209268,기타
20218650,드라마
20218668,기타
20218649,기타
20138107,코미디
20138107,판타지
20136184,멜로/로맨스
20138106,드라마
20168705,드라마
20168685,드라마
20168686,드라마
20154765,드라마
20154767,드라마
20143267,기타
20138110,드라마
20218648,기타
20218667,기타
20218666,기타
20218665,기타
20218646,기타
20218645,기타
20218664,기타
20216983,코미디
20196282,드라마
20217897,액션
20204261,스릴러
20218207,드라마
20218405,멜로/로맨스
20218405,드라마
20218406,멜로/로맨스
20218406,드라마
20218403,멜로/로맨스
20218403,드라마
20218601,드라마
20218601,성인물(에로)
20218404,멜로/로맨스
20218404,드라마
20218206,공포(호러)
20010251,범죄
20010251,액션
20218580,스릴러
20218580,공포(호러)
20218633,액션
20218644,드라마
20216644,스릴러
20216643,액션
20218169,액션
20218432,전쟁
20218432,다큐멘터리
20218150,판타지
20218150,액션
20218394,드라마
20218631,드라마
20218632,드라마
20218630,드라마
20218629,드라마
20218627,멜로/로맨스
20218603,멜로/로맨스
20218626,멜로/로맨스
20218610,멜로/로맨스
20218610,드라마
20218625,멜로/로맨스
20218568,스릴러
20200237,공포(호러)
20218401,멜로/로맨스
20218401,드라마
20218353,멜로/로맨스
20218353,드라마
20218407,멜로/로맨스
20218407,드라마
20218402,멜로/로맨스
20218402,드라마
20218400,멜로/로맨스
20218400,드라마
20217410,성인물(에로)
20217925,멜로/로맨스
20217925,드라마
20218335,멜로/로맨스
20217924,멜로/로맨스
20217924,드라마
20218609,기타
20218599,기타
20218608,기타
19910011,드라마
19910011,멜로/로맨스
20218607,공포(호러)
19980086,코미디
19980086,드라마
19980086,멜로/로맨스
20218587,스릴러
20218587,범죄
20218597,기타
20218596,기타
20218595,드라마
20218594,기타
20218606,드라마
20207585,다큐멘터리
20204689,드라마
20209933,다큐멘터리
20207570,다큐멘터리
20217102,다큐멘터리
20215464,다큐멘터리
20200824,드라마
20218593,애니메이션
20218592,드라마
20208353,드라마
20218605,다큐멘터리
20201761,드라마
20218591,드라마
20206934,드라마
20200421,드라마
20206935,드라마
20218590,드라마
20218589,성인물(에로)
20218588,성인물(에로)
20190810,드라마
20190810,기타
20217650,성인물(에로)
20218430,기타
20216598,코미디
20216578,코미디
20216578,드라마
20218350,멜로/로맨스
20218350,드라마
20218604,애니메이션
20201440,드라마
20143501,드라마
20217510,액션
20217510,코미디
20218344,드라마
20158970,
20215503,액션
20215503,스릴러
20216773,액션
20216773,판타지
20218516,기타
20218497,기타
20218515,기타
20218496,기타
20218513,기타
20218512,기타
19900080,드라마
19900080,멜로/로맨스
19900080,미스터리
19900080,범죄
20218577,성인물(에로)
20218576,성인물(에로)
20218168,액션
20218168,범죄
20218586,성인물(에로)
20218575,성인물(에로)
20218574,성인물(에로)
20218585,성인물(에로)
20218573,성인물(에로)
20218572,성인물(에로)
20218571,성인물(에로)
20218570,성인물(에로)
20218584,성인물(에로)
20218543,성인물(에로)
20218542,성인물(에로)
20218569,성인물(에로)
20218541,범죄
20218540,기타
20218566,액션
20214763,드라마
20217648,드라마
20218565,멜로/로맨스
20218564,드라마
20218564,가족
20218539,멜로/로맨스
20218453,드라마
20135464,코미디
20135464,액션
20135464,스릴러
20135464,범죄
20192986,액션
20192986,어드벤처
20218368,성인물(에로)
20218368,드라마
20218504,멜로/로맨스
20218372,성인물(에로)
20218372,드라마
20218380,성인물(에로)
20218380,드라마
20070358,가족
20070358,드라마
20204705,드라마
20192194,액션
20192194,스릴러
20218538,드라마
20217160,드라마
20217180,드라마
20217204,드라마
20218555,드라마
20218555,뮤지컬
20218554,드라마
20218553,액션
20218553,판타지
20060828,드라마
20218552,기타
20218551,멜로/로맨스
20218550,멜로/로맨스
20218549,멜로/로맨스
20209343,액션
20209343,드라마
20190683,드라마
20218537,성인물(에로)
20218536,성인물(에로)
20218535,성인물(에로)
20218534,성인물(에로)
20218533,성인물(에로)
20218532,성인물(에로)
20218531,성인물(에로)
20218530,성인물(에로)
20218529,성인물(에로)
20218528,성인물(에로)
20218548,성인물(에로)
20218547,성인물(에로)
20218527,드라마
20217946,다큐멘터리
20218427,기타
20110762,다큐멘터리
20218546,성인물(에로)
20218526,성인물(에로)
20164052,드라마
20218545,멜로/로맨스
19608022,드라마
19608022,서부극(웨스턴)
20218544,멜로/로맨스
20205723,드라마
20202477,드라마
20202477,스릴러
20218006,액션
20218006,스릴러
20218193,액션
20218193,코미디
20217692,애니메이션
20218365,드라마
20218365,성인물(에로)
20218366,드라마
20218366,성인물(에로)
20218367,드라마
20218367,성인물(에로)
20217923,멜로/로맨스
20217923,드라마
20200416,드라마
20218523,성인물(에로)
20218525,성인물(에로)
20218522,성인물(에로)
20218524,성인물(에로)
20218503,성인물(에로)
20218502,성인물(에로)
20218521,성인물(에로)
20218501,액션
20218501,SF
20218500,액션
20184541,기타
20197748,드라마
20197748,코미디
20197748,SF
20197748,멜로/로맨스
20183137,기타
20218520,애니메이션
20218519,기타
20218518,기타
20218517,기타
20218498,기타
20218511,기타
20218510,기타
20218509,기타
20218494,기타
20218508,기타
20218493,기타
20218507,기타
20218506,기타
20218492,기타
20218505,기타
20218491,기타
20204258,멜로/로맨스
20204258,드라마
20203443,멜로/로맨스
20215126,다큐멘터리
20218490,애니메이션
20202501,드라마
20205144,드라마
20207582,다큐멘터리
20209143,드라마
20198663,드라마
20198663,범죄
20217126,드라마
20209244,애니메이션
